Inlet Pressure (bar),Outlet Pressure (bar),Cold Mass Fraction,Nozzle Diameter (mm),Tube Diameter (mm),Tube Length (mm),L/D Ratio,Reynolds Number,Pressure Ratio,Mach Number,Swirl Number,Turbulence Intensity (%),Shock Angle (deg),Shock Location (mm),Maximum Mach,Minimum Pressure (bar),Shock Length (mm),Number of Shocks,Maximum Temperature (K),Cold Exit Temperature (K),Hot Exit Temperature (K),Pressure Drop (bar),Entropy Generation,Shock Intensity,Vorticity (1/s),Helicity(m/s2),Q-Criterion(1/s2),Turbulent Kinetic Energy(m2/s2),Eddy Dissipation Rate(m2/s3),Circulation(m2/s),Swirl Velocity (m/s),Axial Velocity (m/s),Tangential Velocity (m/s),Radial Pressure Gradient (kPa/m),Vortex Core Radius (mm)
3.109,1.066,0.622,2.967,18.334,446.963,24.379,150154,2.917,0.8,0.769,8.011,29.48,137.531,0.795,0.953,26.753,1,363.846,241.155,367.882,2.321,1.815,1.794,1093.203,375.778,38373.129,9.434,30.476,7.482,116.996,126.337,183.319,85.419,3.133
7.818,1.349,0.767,2.582,13.837,709.23,51.256,120563,5.796,1.034,0.721,6.892,35.406,262.224,1.302,1.216,35.309,3,406.441,189.681,445.506,6.764,2.876,2.853,1015.536,374.414,36759.701,7.82,25.213,5.205,111.733,139.169,177.622,105.535,2.665
6.651,1.111,0.445,1.812,9.613,643.103,66.896,53721,5.986,1.13,0.818,7.556,35.545,246.466,1.194,0.962,36.106,5,415.576,186.133,442.722,5.582,2.806,2.996,835.691,269.702,33777.42,6.326,19.859,2.201,104.609,142.914,166.99,105.39,1.59
7.637,1.808,0.597,2.788,11.473,158.793,13.841,116550,4.223,0.931,1.192,6.192,31.119,78.265,1.167,1.728,12.899,2,387.165,220.31,407.494,6.115,2.271,2.463,1086.995,612.04,39050.991,9.315,27.448,4.93,121.054,135.65,183.833,104.077,1.859
7.369,1.948,0.479,1.702,15.949,723.216,45.345,191466,3.783,0.869,0.902,4.055,30.64,215.771,1.08,1.863,36.897,2,381.265,226.359,391.895,5.763,2.249,2.108,1244.658,508.433,37755.419,9.561,30.858,7.221,120.179,121.302,189.225,92.871,3.027
5.587,1.072,0.578,1.955,15.357,430.237,28.015,232683,5.211,1.052,1.277,11.481,40.407,156.996,1.335,0.974,21.833,3,398.477,205.267,432.583,4.857,3.092,2.862,1458.57,844.347,46137.235,13.758,41.973,6.661,134.22,136.885,209.775,107.131,2.804
7.531,1.955,0.47,1.85,14.372,620.704,43.188,85369,3.852,0.924,1.194,1.951,34.585,182.797,1.125,1.877,32.141,2,377.047,223.321,398.26,5.607,1.944,2.16,994.213,487.331,36662.228,7.533,23.079,5.056,115.96,123.532,184.985,97.07,2.504
2.531,1.523,0.313,1.785,16.196,198.027,12.227,108151,1.662,0.564,0.325,11.328,28.072,55.816,0.538,1.394,26.275,1,340.156,267.155,341.667,1.199,1.205,0.977,836.567,128.112,31090.858,7.728,23.448,6.159,93.562,125.544,139.873,69.345,2.64
3.176,1.3,0.505,2.505,15.649,569.504,36.393,63871,2.444,0.678,1.056,4.424,29.942,129.428,0.696,1.213,28.824,1,344.829,250.969,369.807,2.037,1.271,1.491,868.421,350.802,38134.795,7.45,24.457,5.315,107.875,124.347,164.443,82.827,2.896
2.271,1.077,0.517,1.959,18.576,265.428,14.289,181959,2.109,0.681,0.824,6.639,28.382,69.256,0.589,0.972,21.898,1,349.463,258.589,358.967,1.45,1.57,1.417,1156.345,453.89,37299.135,10.037,31.776,7.269,116.529,130.26,179.832,78.129,3.484
3.952,1.501,0.686,1.497,15.032,406.867,27.066,241241,2.634,0.743,0.848,2.197,30.358,112.328,0.919,1.441,24.211,1,353.082,249.885,373.073,2.948,1.939,1.598,1345.792,480.715,43062.777,10.426,35.84,7.353,120.361,127.372,192.171,82.52,2.49
4.332,1.795,0.641,1.368,17.343,111.804,6.447,171009,2.414,0.695,1.282,1.78,30.934,45.358,0.68,1.665,19.576,1,357.292,252.215,370.645,2.894,1.68,1.6,1243.635,669.032,40968.931,9.877,33.438,7.353,127.81,121.705,196.958,88.404,3.156
3.628,1.707,0.598,0.883,10.984,206.127,18.765,165756,2.125,0.661,0.957,5.725,26.772,35.227,0.695,1.584,20.883,1,353.482,256.572,354.437,2.239,1.619,1.17,1158.681,440.552,38196.233,9.814,31.915,4.962,113.677,118.817,176.033,80.607,1.928
6.972,1.05,0.268,2.083,16.138,164.456,10.191,151767,6.639,1.188,1.363,9.159,35.7,126.331,1.479,0.858,18.835,5,434.302,180.428,454.091,6.152,3.454,3.25,1221.931,752.064,41448.398,10.578,35.865,6.495,122.094,127.986,186.509,119.063,2.687
4.141,1.073,0.632,1.306,18.826,267.821,14.226,49460,3.859,0.908,1.155,3.963,34.935,107.699,0.909,0.945,21.985,2,386.757,228.005,399.61,3.186,1.911,2.022,860.908,451.342,36489.5,7.74,20.471,6.277,105.297,124.546,166.347,93.355,3.265
3.686,1.403,0.5,1.126,12.629,170.013,13.462,190490,2.627,0.76,0.963,7.186,30.212,27.241,0.657,1.331,15.935,1,354.954,249.517,370.261,2.652,1.847,1.595,1243.456,511.045,42526.959,10.579,35.206,5.956,116.213,130.72,182.836,83.663,2.235
5.256,1.295,0.736,2.238,17.349,584.337,33.681,162450,4.058,0.9,1.205,4.065,33.672,172.064,1.02,1.183,29.851,2,383.656,222.229,411.443,4.364,2.293,2.155,1226.592,659.08,41118.32,9.804,32.173,7.769,122.578,127.483,187.82,96.446,2.823
2.846,1.232,0.752,2.299,16.697,120.328,7.206,175524,2.309,0.67,0.346,5.275,27.89,35.348,0.651,1.129,16.429,1,348.169,254.363,354.486,1.861,1.596,1.474,1070.2,159.47,37699.949,7.511,29.242,7.29,110.195,133.967,166.622,67.681,3.109
6.813,1.281,0.233,2.455,8.714,532.418,61.097,227738,5.319,1.052,0.333,10.971,32.584,209.717,1.239,1.248,29.929,3,397.303,197.468,422.498,5.997,3.031,2.656,1240.256,166.05,39367.119,10.79,36.273,4.286,116.687,136.039,183.954,95.304,1.417
2.447,1.027,0.692,1.908,14.978,198.495,13.252,202471,2.384,0.689,0.4,10.414,30.16,61.252,0.796,0.975,17.588,1,349.293,250.505,360.346,1.724,1.746,1.406,1154.104,208.915,37738.782,10.222,32.537,6.561,114.521,130.608,179.543,74.41,2.55
7.921,1.929,0.223,2.767,9.562,761.613,79.648,201801,4.106,0.92,0.825,6.676,30.149,248.664,1.061,1.846,34.079,2,386.893,225.441,402.286,6.377,2.404,2.143,1254.082,507.915,42142.466,9.917,36.94,4.76,123.313,131.684,188.48,94.557,1.798
6.633,1.405,0.42,2.86,19.608,753.166,38.411,233980,4.721,0.97,0.583,3.619,33.11,226.84,1.189,1.343,34.735,3,394.276,210.785,414.228,5.609,2.712,2.346,1309.02,378.513,40760.821,9.486,31.921,9.34,112.203,139.619,176.692,96.503,3.421
3.192,1.906,0.525,2.576,17.737,257.852,14.538,247785,1.675,0.562,1.481,3.125,32.18,36.958,0.579,1.753,20.93,1,338.641,264.787,351.345,1.708,1.696,1.37,1531.855,983.977,46662.768,12.025,39.729,9.742,135.839,114.122,213.107,81.696,3.105
2.033,1.048,0.289,2.198,9.317,530.095,56.897,157882,1.94,0.625,0.951,11.495,31.273,141.242,0.596,0.933,28.575,1,343.058,263.897,350.179,1.3,1.542,1.43,1125.191,477.274,38610.404,10.535,33.768,3.33,111.814,120.629,178.232,79.497,1.627
6.893,1.476,0.648,1.468,9.461,119.604,12.642,53953,4.669,0.991,1.095,3.23,31.444,61.39,1.066,1.378,18.431,3,396.11,211.977,414.724,5.479,2.211,2.558,916.806,447.197,36202.752,6.682,21.169,2.704,109.611,135.835,173.285,98.259,1.515
6.241,1.226,0.205,2.962,15.134,752.252,49.707,131008,5.091,1.046,0.635,9.89,33.596,238.169,1.247,1.093,32.629,3,397,208.131,410.911,5.394,2.675,2.465,1006.69,323.307,35504.434,8.748,28.183,5.548,109.518,127.935,168.398,98.898,2.601
6.374,1.64,0.301,1.403,12.139,466.091,38.397,203272,3.885,0.886,0.686,5.059,34.814,170.205,1.003,1.534,27.444,2,377.118,225.275,393.556,5.234,2.346,2.07,1227.683,398.959,43153.079,9.831,33.403,5.52,125.739,130.531,191.848,89.058,2.161
6.628,1.979,0.548,1.246,8.419,130.256,15.472,36099,3.349,0.796,0.703,11.842,30.163,62.003,0.948,1.885,17.904,2,368.488,231.077,379.47,4.785,1.722,1.881,774.788,254.399,31114.471,7.334,19.951,2.292,97.837,121.614,159.709,85.806,1.491
2.444,1.603,0.629,1.773,14.5,339.75,23.432,42515,1.524,0.551,1.138,5.05,30.131,71.368,0.511,1.476,25.771,1,336.717,269.946,348.486,0.989,0.948,1.106,847.086,429.302,35082.605,7.037,21.77,4.058,103.956,117.3,159.077,78.899,2.681
4.151,1.358,0.75,0.925,12.654,153.795,12.154,44774,3.057,0.809,0.868,4.867,32.746,48.827,0.847,1.248,22.534,1,362.936,236.747,376.614,2.893,1.509,1.623,795.945,278.499,33621.2,6.307,19.301,3.457,103.952,125.65,153.787,87.392,2.366
2.695,1.648,0.623,2.953,9.213,375.061,40.71,190827,1.636,0.57,0.921,8.012,26.48,102.627,0.531,1.593,19.542,1,333.929,263.138,342.977,1.533,1.508,1.286,1212.032,476.91,38964.483,10.751,35.708,3.882,111.86,122.154,168.551,77.614,1.874
7.179,1.123,0.603,2.095,17.623,568.948,32.284,140256,6.393,1.16,1.01,11.577,39.631,229.33,1.343,1.012,32.716,5,423.263,177.4,458.01,6.313,3.251,3.165,1115.555,484.185,40465.535,10.495,31.59,7.018,122.19,138.586,181.285,112.661,2.841
5.74,1.889,0.437,2.025,18.981,428.923,22.598,111157,3.039,0.785,1.223,11.738,33.31,111.105,0.961,1.81,28.317,1,360.822,245.257,381.861,4.243,1.951,1.726,1055.826,539.319,37551.354,10.159,31.09,6.903,114.119,122.628,181.77,92.382,3.562
3.985,1.503,0.201,2.243,17.079,368.606,21.582,53235,2.651,0.714,0.408,8.779,29.238,77.898,0.843,1.46,20.033,1,352.277,251.303,366.685,2.513,1.409,1.499,755.877,166.407,31208.826,5.82,19.83,5.101,90.231,124.299,147.145,78.195,2.994
2.381,1.449,0.272,1.893,17.869,183.41,10.264,191092,1.643,0.594,1.232,9.301,26.732,69.194,0.476,1.365,20.699,1,341.124,269.276,351.668,1.224,1.521,1.307,1302.436,663.24,43543.28,11.667,37.682,8.09,124.698,118.272,194.282,79.217,3.311
3.866,1.586,0.521,0.871,10.598,271.457,25.614,100624,2.438,0.673,0.976,7.197,31.573,61.248,0.763,1.503,24.168,1,349.975,254.024,367.196,2.37,1.54,1.541,972.454,441.351,35351.048,8.6,26.188,3.285,103.256,127.615,153.633,80.572,1.946
3.951,1.625,0.605,2.147,11.163,170.1,15.238,88371,2.432,0.703,1.103,9.314,31.866,60.498,0.581,1.532,16.217,1,361.942,251.26,361.29,2.405,1.477,1.437,962.602,496.322,36782.307,9.075,26.475,3.72,111.716,118.36,177.966,83.732,1.861
6.378,1.072,0.45,2.376,10.502,665.249,63.343,173510,5.951,1.066,0.693,10.458,36.81,269.584,1.375,0.94,32.185,4,413.059,192.325,444.341,5.523,3.169,2.835,1133.94,365.833,38556.576,10.374,31.705,3.617,115.613,130.415,181.063,105.42,2.174
5.825,1.683,0.638,1.717,17.181,194.668,11.331,152982,3.462,0.801,0.791,6.347,30.155,78.898,0.831,1.556,20.63,2,371.376,228.985,389.176,4.466,2.04,1.74,1086.097,373.843,38139.684,8.809,29.858,7.538,111.913,120.329,178.389,85.964,3.221
7.323,1.242,0.513,2.466,19.375,516.761,26.672,109730,5.897,1.093,0.577,7.818,31.451,194.325,1.349,1.111,31.003,3,409.36,186.498,436.58,6.369,2.895,2.91,972.909,299.971,36339.129,7.62,22.961,6.925,99.945,132.034,157.275,105.353,3.554
4.833,1.714,0.245,1.299,16.602,339.918,20.474,171127,2.82,0.756,1.475,6.91,31.604,81.419,0.649,1.585,20.555,1,363.854,243.862,380.893,3.464,1.888,1.744,1296.828,843.729,43338.579,11.201,35.671,7.529,128.857,120.839,194.189,90.34,3.382
2.718,1.823,0.315,1.287,18.578,258.185,13.898,89668,1.491,0.561,0.896,7.187,27.306,35.87,0.435,1.722,24.169,1,337.101,271.904,347.571,0.964,1.046,1.117,974.565,416.423,33371.706,7.621,25.066,7.045,104.369,114.033,164.417,75.969,3.122
6.279,1.804,0.704,1.155,15.664,547.628,34.96,204862,3.481,0.86,1.495,10.791,32.065,174.458,0.984,1.688,23.043,2,376.281,233.23,393.036,4.848,2.257,2.035,1403.393,884.429,46978.708,13.391,42.139,7.592,130.419,122.342,195.929,100.263,2.78
6.565,1.553,0.635,1.618,12.652,419.902,33.189,80450,4.228,0.946,0.888,4.912,35.488,171.831,1.02,1.447,30.254,2,385.003,217.39,397.347,5.24,2.09,2.38,915.837,368.088,37843.015,6.375,22.117,4.039,104.208,133.137,158.436,94.888,2.363
5.368,1.52,0.737,2.663,13.109,380.102,28.995,64944,3.531,0.838,0.564,3.29,32.965,121,0.86,1.44,26.505,2,372.422,229.85,383.033,3.95,1.699,1.976,824.69,219.113,33051.673,6.365,18.895,3.432,100.34,122.114,159.659,84.297,2.129
6.626,1.143,0.271,2.621,8.904,514.996,57.84,202136,5.797,1.098,0.909,6.019,34.418,197.444,1.431,1.029,27.401,3,411.372,197.285,439.061,5.823,3.091,2.903,1248.414,520.247,41136.894,11.28,34.514,3.42,124.835,139.609,197.43,101.469,1.443
